"","X","B3","X18","X42","X22","X9","B1","X10","B8","X20","B7","C","X39","B11","X4","B10","X29","X2","B9","X19","B5","X33","X16","X40","D","X1","X17","B6","X3","X27","X12","X15","B4","X7","B2","X26","X13","X34","X32","X36","X35","X6","X5","X37","X23","B","X11","X28","X24"
"21","D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Kineosporiales;D_4__Kineosporiaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00108506944444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000434027777777778,0,0,0,0.000217013888888889,0,0,0,0,0,0,0,0,0,0
"22","D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Micrococcales;D_4__Beutenbergiaceae",0,0,0,0,0,0,0.00954861111111111,0,0,0,0,0.00151909722222222,0.000651041666666667,0,0,0,0,0,0,0,0.001953125,0.000434027777777778,0.000434027777777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23","D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Micrococcales;D_4__Bogoriellaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000651041666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24","D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Micrococcales;D_4__Brevibacteriaceae",0,0,0,0,0,0.000868055555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000217013888888889,0,0,0,0,0,0,0.000868055555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25","D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Micrococcales;D_4__Cellulomonadaceae",0,0,0,0,0.000217013888888889,0,0,0.00108506944444444,0,0,0,0.000217013888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000217013888888889
"26","D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Micrococcales;D_4__Dermabacteraceae",0.000434027777777778,0,0,0,0,0.000651041666666667,0.00368923611111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00477430555555556,0,0.00173611111111111,0,0,0,0,0,0.00151909722222222,0,0,0,0,0,0,0,0,0,0,0,0.000651041666666667,0,0,0,0,0,0,0
"27","D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Micrococcales;D_4__Dermatophilaceae",0,0,0,0,0,0,0.005859375,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00151909722222222,0,0,0,0,0.000868055555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28","D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Micrococcales;D_4__Intrasporangiaceae",0.000217013888888889,0,0.000868055555555556,0,0,0,0.0368923611111111,0.000434027777777778,0,0,0,0,0.000217013888888889,0,0,0,0,0.000868055555555556,0,0,0.0286458333333333,0.00151909722222222,0,0,0,0,0,0,0,0.000651041666666667,0,0,0.000651041666666667,0,0,0,0,0,0,0,0.000651041666666667,0,0,0,0,0,0.000868055555555556,0
"29","D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Micrococcales;D_4__Microbacteriaceae",0.000651041666666667,0,0.000217013888888889,0.00260416666666667,0,0.00477430555555556,0.0479600694444444,0.000651041666666667,0.001953125,0,0,0.000434027777777778,0.000651041666666667,0,0,0,0,0,0,0.00130208333333333,0.00347222222222222,0.00130208333333333,0.000217013888888889,0,0,0,0,0.000217013888888889,0,0.000217013888888889,0,0.000651041666666667,0.00130208333333333,0.000434027777777778,0,0.00108506944444444,0,0,0.00130208333333333,0,0,0.000217013888888889,0,0,0.001953125,0,0.001953125,0.000868055555555556
"30","D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Micrococcales;D_4__Micrococcaceae",0.00151909722222222,0.00412326388888889,0.00434027777777778,0.00694444444444444,0.000868055555555556,0.00130208333333333,0.0724826388888889,0.001953125,0.0145399305555556,0.00282118055555556,0.000651041666666667,0.00542534722222222,0.00412326388888889,0,0.00108506944444444,0.000217013888888889,0,0.00217013888888889,0.000217013888888889,0.00347222222222222,0.0269097222222222,0.00477430555555556,0.00303819444444444,0.000434027777777778,0,0.00151909722222222,0.009765625,0.00108506944444444,0.00260416666666667,0.00629340277777778,0,0.000217013888888889,0.00499131944444444,0.00954861111111111,0.0101996527777778,0.0568576388888889,0.00998263888888889,0.00434027777777778,0.0132378472222222,0.00217013888888889,0.0301649305555556,0.00520833333333333,0,0.0101996527777778,0.0145399305555556,0.000217013888888889,0.00260416666666667,0.000217013888888889
